34707, 01FEB2012 00:00, 0
34707, 01MAR2012 00:00, 3
34707, 01APR2012 00:00, 5
34707, 01MAY2012 00:00, 9
34707, 01JUN2012 00:00, 12
34707, 01JUL2012 00:00, 13
34707, 01AUG2012 00:00, 14
34707, 01SEP2012 00:00, 15
28242, 01JAN2012 00:00, 0
28242, 01FEB2012 00:00, 2
28242, 01MAR2012 00:00, 7
28242, 01APR2012 00:00, 11
28242, 01MAY2012 00:00, 15
28242, 01JUN2012 00:00, 18
28242, 01JUL2012 00:00, 19
28242, 01AUG2012 00:00, 21
28242, 01SEP2012 00:00, 22
10449, 01JAN2012 00:00, 0
10449, 01FEB2012 00:00, 4
10449, 01MAR2012 00:00, 5
10449, 01APR2012 00:00, 7
10449, 01MAY2012 00:00, 10
10449, 01JUN2012 00:00, 14
10449, 01JUL2012 00:00, 16
10449, 01AUG2012 00:00, 18
10449, 01SEP2012 00:00, 19
34839, 01JAN2012 00:00, 0
34839, 01FEB2012 00:00, 7
34839, 01MAR2012 00:00, 10
34839, 01APR2012 00:00, 14
34839, 01MAY2012 00:00, 19
34839, 01JUN2012 00:00, 24
34839, 01JUL2012 00:00, 24
34839, 01AUG2012 00:00, 30
34839, 01SEP2012 00:00, 34
37043, 01JAN2012 00:00, 0
37043, 01FEB2012 00:00, 2
37043, 01MAR2012 00:00, 7
37043, 01APR2012 00:00, 9
37043, 01MAY2012 00:00, 9
37043, 01JUN2012 00:00, 9
37043, 01JUL2012 00:00, 9
18959, 01FEB2012 00:00, 0
18959, 01MAR2012 00:00, 3
18959, 01APR2012 00:00, 5
18959, 01MAY2012 00:00, 12
18959, 01JUN2012 00:00, 15
18959, 01JUL2012 00:00, 19
18959, 01AUG2012 00:00, 26
18959, 01SEP2012 00:00, 36
25250, 01JAN2012 00:00, 0
25250, 01FEB2012 00:00, 3
25250, 01MAR2012 00:00, 6
25250, 01APR2012 00:00, 10
25250, 01MAY2012 00:00, 16
25250, 01JUN2012 00:00, 19
25250, 01JUL2012 00:00, 21
25250, 01AUG2012 00:00, 21
25250, 01SEP2012 00:00, 23
37856, 01MAY2012 00:00, 0
37856, 01JUN2012 00:00, 1
37856, 01JUL2012 00:00, 1
37856, 01AUG2012 00:00, 1
37856, 01SEP2012 00:00, 1
11776, 01JAN2012 00:00, 0
11776, 01FEB2012 00:00, 9
11776, 01MAR2012 00:00, 16
11776, 01APR2012 00:00, 21
11776, 01MAY2012 00:00, 24
11776, 01JUN2012 00:00, 28
11776, 01JUL2012 00:00, 28
11776, 01AUG2012 00:00, 29
11776, 01SEP2012 00:00, 31
37524, 01JAN2012 00:00, 0
37524, 01FEB2012 00:00, 2
37524, 01MAR2012 00:00, 3
37524, 01APR2012 00:00, 9
37524, 01MAY2012 00:00, 9
37524, 01JUN2012 00:00, 9
37524, 01JUL2012 00:00, 9
37524, 01AUG2012 00:00, 11
37524, 01SEP2012 00:00, 12
86352, 01FEB2012 00:00, 0
86352, 01MAR2012 00:00, 3
86352, 01APR2012 00:00, 7
